alpha,beta,gamma,sigma,nu,delta
0.1,0.1,0.1,0.0008953835261359936,5.0,0.1
0.1,0.1,0.1,0.0014192960537488834,5.0,0.1
0.1,0.1,0.1,0.0006534210598037784,5.0,0.1
0.1,0.1,0.1,0.0010989740129201029,5.0,0.1
0.1,0.1,0.1,0.00017614405856045495,5.0,0.1
0.1,0.1,0.1,0.00019103281448643768,5.0,0.1
0.1,0.1,0.1,0.0004688079074769763,5.0,0.1
0.1,0.1,0.1,0.0005837463348720362,5.0,0.1
0.1,0.1,0.1,0.0001973141629860767,5.0,0.1
0.1,0.1,0.1,0.0001018647517749694,5.0,0.1
0.1,0.1,0.1,0.0008148879590981382,5.0,0.1
0.1,0.1,0.1,0.0005652622737012114,5.0,0.1
0.10000045659767098,0.10000072657635699,0.0999999999021117,2.811504305995459e-05,5.0000012558680496,0.10000002959970723
0.1,0.1,0.1,0.000321833905469662,5.0,0.1
0.09999997848276858,0.10000001585957215,0.1,0.0001923719363644264,5.000000029199353,0.1
0.1,0.1,0.1,0.0014957845961141524,5.0,0.1
0.1,0.1,0.1,3.7813643327509454e-05,5.0,0.1
